id,name,gender,birth_year,height,mass,homeworld_id,homeworld_name,species,is_pilot,n_starships_piloted
1,Luke Skywalker,male,19BBY,172,77,1,Tatooine,Human,1,2
2,C-3PO,n/a,112BBY,167,75,1,Tatooine,Droid,0,0
3,R2-D2,n/a,33BBY,96,32,8,Naboo,Droid,0,0
4,Darth Vader,male,41.9BBY,202,136,1,Tatooine,Human,1,1
5,Leia Organa,female,19BBY,150,49,2,Alderaan,Human,0,0
6,Owen Lars,male,52BBY,178,120,1,Tatooine,Human,0,0
7,Beru Whitesun lars,female,47BBY,165,75,1,Tatooine,Human,0,0
8,R5-D4,n/a,unknown,97,32,1,Tatooine,Droid,0,0
9,Biggs Darklighter,male,24BBY,183,84,1,Tatooine,Human,1,1
10,Obi-Wan Kenobi,male,57BBY,182,77,20,Stewjon,Human,1,5
11,Anakin Skywalker,male,41.9BBY,188,84,1,Tatooine,Human,1,3
12,Wilhuff Tarkin,male,64BBY,180,unknown,21,Eriadu,Human,0,0
13,Chewbacca,male,200BBY,228,112,14,Kashyyyk,Wookie,1,2
14,Han Solo,male,29BBY,180,80,22,Corellia,Human,1,2
15,Greedo,male,44BBY,173,74,23,Rodia,Rodian,0,0
16,Jabba Desilijic Tiure,hermaphrodite,600BBY,175,"1,358",24,Nal Hutta,Hutt,0,0
18,Wedge Antilles,male,21BBY,170,77,22,Corellia,Human,1,1
19,Jek Tono Porkins,male,unknown,180,110,26,Bestine IV,Human,1,1
20,Yoda,male,896BBY,66,17,28,unknown,Yoda's species,0,0
21,Palpatine,male,82BBY,170,75,8,Naboo,Human,0,0
22,Boba Fett,male,31.5BBY,183,78.2,10,Kamino,Human,1,1
23,IG-88,none,15BBY,200,140,28,unknown,Droid,0,0
24,Bossk,male,53BBY,190,113,29,Trandosha,Trandoshan,0,0
25,Lando Calrissian,male,31BBY,177,79,30,Socorro,Human,1,1
26,Lobot,male,37BBY,175,79,6,Bespin,Human,0,0
27,Ackbar,male,41BBY,180,83,31,Mon Cala,Mon Calamari,0,0
28,Mon Mothma,female,48BBY,150,unknown,32,Chandrila,Human,0,0
29,Arvel Crynyd,male,unknown,unknown,unknown,28,unknown,Human,1,1
